campo1;campo2;campo3;campo4;campo5;campo6;campo7;campo8;campo9;campo10;campo11;campo12;campo13;campo14;campo15;campo16;campo17;campo18;campo19;campo20;campo21;campo22;campo23;campo24;campo25;campo26;campo27;campo28;campo29;campo30;campo31;campo32;campo33;campo34;campo35;campo36;campo37;campo38;campo39;campo40;campo41;campo42;campo43;campo44;campo45;campo46;campo47;campo48;campo49;campo50;campo51;campo52;campo53;campo54;campo55;campo56;campo57;campo58;campo59;campo60;campo61;campo62;campo63;campo64;campo65;campo66;campo67;campo68;campo69;campo70;campo71;campo72;campo73;campo74;campo75;campo76;campo77;campo78;campo79;campo80;campo81;campo82;campo83;campo84;campo85;campo86;campo87;campo88;campo89;campo90;campo91;campo92;campo93;campo94;campo95;campo96;campo97;campo98;campo99;campo100;campo101;campo102;campo103;campo104;campo105;campo106;campo107;campo108;campo109;campo110;campo111;campo112;campo113;campo114;campo115;campo116;campo117;campo118;campo119;campo120;campo121;campo122;campo123;campo124;campo125;campo126;campo127;campo128;campo129;campo130;campo131;campo132;campo133;campo134;campo135;campo136;campo137;campo138;campo139;campo140;campo141;campo142;campo143;campo144;campo145;campo146;campo147;campo148;campo149;campo150;campo151;campo152;campo153;campo154;campo155;campo156;campo157;campo158;campo159;campo160;campo161;campo162;campo163;campo164;campo165;campo166;campo167;campo168;campo169;campo170;campo171;campo172;campo173;campo174;campo175;campo176;campo177;campo178;campo179;campo180;campo181;campo182;campo183;campo184;campo185;campo186;campo187;campo188;campo189;campo190;campo191;campo192;campo193;campo194;campo195;campo196;campo197;campo198;campo199;campo200;sheet;LinhaCabecalho;NumeroLinha
;;LISTAGEM DE IMÓVEIS NOTIFICADOS EM VIRTUDE DO DESCUMPRIMENTO DA FUNÇÃO SOCIAL DA PROPRIEDADE
Em consonância com Artº 100 da Lei Municipal 16050/14 - Plano Diretor Estratégico;;;;;;;;;;;;;;;;DATA DE ATUALIZAÇÃO: 27/02/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;2
Informações sobre o imóvel ;;;;;;;;;;PEUC;;;;;;IPTU Progressivo no Tempo;;Desapropriação mediante pagamento com títulos da dívida pública;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;3
Setor / Quadra / Lote;Tipologia;Logradouro;Nº;Suprefeitura;Perímetro;Área de Terreno;Área Construída;Data da Notificação;Identificação do instrumento;Data de início da aplicação;Data de protocolo de aprovação de projeto ;Data de expedição do alvará de projeto ;Data de comunicação da conclusão do projeto ;Data da comunicação da ocupação do imóvel ;Situação do imóvel;Data da primeira aplicação da alíquota progressiva;Valor da alíquota / ano;Data da publicação do Decreto de desapropriação;Data da propositura de ação de desapropriação;Destinação do imóvel;Justificativa da ausência de interesse na aquisição;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;4
0010290001;NÃO EDIFICADO;R BRIGADEIRO TOBIAS;502;SPSE;OU CENTRO; 742,0; 0,0;2015/01/16 00:00:00.000;PEUC;2015/01/16 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO EM ANÁLISE;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;5
0010390125;NÃO UTILIZADO;AV PRESTES MAIA;526;SPSE;OU CENTRO; 116,0; 109,0;2014/11/04 00:00:00.000;PEUC;2014/11/04 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;6
0010390126;NÃO UTILIZADO;AV PRESTES MAIA;526;SPSE;OU CENTRO; 116,0; 109,0;2014/11/04 00:00:00.000;PEUC;2014/11/04 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;7
0010390127;NÃO UTILIZADO;AV PRESTES MAIA;526;SPSE;OU CENTRO; 116,0; 109,0;2014/11/04 00:00:00.000;PEUC;2014/11/04 00:00:00.000;NA;NA;NA;2014/11/18 00:00:00.000;NOTIFICADO / CUMPRIU OBRIGAÇÃO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;8
0010390128;NÃO UTILIZADO;AV PRESTES MAIA;526;SPSE;OU CENTRO; 116,0; 109,0;2014/11/04 00:00:00.000;PEUC;2014/11/04 00:00:00.000;NA;NA;NA;2014/11/18 00:00:00.000;NOTIFICADO / CUMPRIU OBRIGAÇÃO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;9
0010390129;NÃO UTILIZADO;AV PRESTES MAIA;526;SPSE;OU CENTRO; 116,0; 109,0;2014/11/04 00:00:00.000;PEUC;2014/11/04 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;10
0010390130;NÃO UTILIZADO;AV PRESTES MAIA;526;SPSE;OU CENTRO; 116,0; 109,0;2014/11/04 00:00:00.000;PEUC;2014/11/04 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;11
0010390131;NÃO UTILIZADO;AV PRESTES MAIA;526;SPSE;OU CENTRO; 116,0; 109,0;2014/11/04 00:00:00.000;PEUC;2014/11/04 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;12
0010390132;NÃO UTILIZADO;AV PRESTES MAIA;526;SPSE;OU CENTRO; 116,0; 109,0;2014/11/04 00:00:00.000;PEUC;2014/11/04 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;13
0010390133;NÃO UTILIZADO;AV PRESTES MAIA;526;SPSE;OU CENTRO; 116,0; 91,0;2014/11/04 00:00:00.000;PEUC;2014/11/04 00:00:00.000;NA;NA;NA;2014/11/18 00:00:00.000;NOTIFICADO / CUMPRIU OBRIGAÇÃO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;14
0010390134;NÃO UTILIZADO;AV PRESTES MAIA;526;SPSE;OU CENTRO; 116,0; 91,0;2014/11/04 00:00:00.000;PEUC;2014/11/04 00:00:00.000;NA;NA;NA;2014/11/18 00:00:00.000;NOTIFICADO / CUMPRIU OBRIGAÇÃO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;15
0020280038;NÃO UTILIZADO;AV MERCURIO;564;SPSE;OU CENTRO; 377,0; 3500,0;2014/11/12 00:00:00.000;PEUC;2014/11/12 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO INDEFERIDA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;16
0020740034;SUBUTILIZADO;R ROBERTO SIMONSEN;4;SPSE;OU CENTRO; 520,0; 67,0;2015/01/15 00:00:00.000;PEUC;2015/01/15 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;17
0030030136;SUBUTILIZADO;R DO CARMO;133;SPSE;OU CENTRO; 702,0; 21,0;2014/11/10 00:00:00.000;PEUC;2014/11/10 00:00:00.000;NA;NA;NA;NA;NOTIFICADO / IMPUGNAÇÃO DEFERIDA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;18
0030030162;NÃO UTILIZADO;R DO CARMO;93-103;SPSE;OU CENTRO; 584,0; 868,0;2014/12/12 00:00:00.000;PEUC;2014/12/12 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;19
0030060021;NÃO UTILIZADO;R DOS CARMELITAS;164 -166;SPSE;OU CENTRO; 192,0; 632,0;2014/11/18 00:00:00.000;PEUC;2014/11/18 00:00:00.000;NA;NA;NA;2014/01/19 00:00:00.000;NOTIFICADO / CUMPRIU OBRIGAÇÃO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;20
0040440035;NÃO EDIFICADO;R TEIXEIRA LEITE;SN;SPSE;ZEIS 5; 1620,0; 0,0;2015/01/27 00:00:00.000;PEUC;2015/01/27 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;21
0050170722;SUBUTILIZADO;R SANTO AMARO; 27,0;SPSE;OU CENTRO/ZEIS 5; 941,0; 3,0;2015/01/27 00:00:00.000;PEUC;2015/01/27 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;22
0050240487;SUBUTILIZADO;R FRANCISCA MIQUELINA;00067;SPSE;OU CENTRO; 784,0; 15,0;2014/11/07 00:00:00.000;PEUC;2014/11/07 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO INDEFERIDA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;23
0060470135;NÃO UTILIZADO;R MAJOR DIOGO;272;SPSE;OU CENTRO; 3150,0; 3353,0;2014/12/16 00:00:00.000;PEUC;2014/12/16 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;24
0060620064;SUBUTILIZADO;R STO ANTONIO;416;SPSE;OU CENTRO; 636,0; 30,0;2014/12/12 00:00:00.000;PEUC;2014/12/12 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO EM ANÁLISE;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;25
0070520078;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 367,0;2014/11/24 00:00:00.000;PEUC;2014/11/24 00:00:00.000;NA;NA;NA;NA;NOTIFICADO / IMPUGNAÇÃO DEFERIDA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;26
0070520079;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 89,0;2014/12/10 00:00:00.000;PEUC;2014/12/10 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;27
0070520080;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 130,0;2014/12/10 00:00:00.000;PEUC;2014/12/10 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;28
0070520081;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 89,0;2014/12/12 00:00:00.000;PEUC;2014/12/12 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO EM ANÁLISE;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;29
